project_name	publication_year	publication_doi	site_name	latitude	longitude	geo_loc_name	sample_name	sample_host	sample_age	sample_age_doi	community_type	material	archive	archive_project	archive_accession
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS16	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985755,ERS3881523
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS17	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985756,ERS3881524
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS18	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985757,ERS3881525
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS19	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985758,ERS3881526
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS20	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985759,ERS3881527
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS21	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985760,ERS3881528
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS22	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985761,ERS3881529
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS23	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985762,ERS3881530
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS24	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985763,ERS3881531
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS26	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985764,ERS3881532
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS27	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985765,ERS3881533
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS28	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985766,ERS3881534
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS29	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985767,ERS3881535
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS30	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985768,ERS3881536
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS31	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985769,ERS3881537
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS32	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985770,ERS3881538
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS33	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985771,ERS3881539
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS34	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985772,ERS3881540
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS35	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985773,ERS3881541
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS36	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985774,ERS3881542
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS37	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985775,ERS3881543
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS38	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985776,ERS3881544
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS39	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985777,ERS3881545
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS40	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985778,ERS3881546
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS42	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985779,ERS3881547
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS43	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985780,ERS3881548
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS44	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985781,ERS3881549
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS45	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985782,ERS3881550
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS46	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985783,ERS3881551
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS47	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985784,ERS3881552
Velsko2019	2019	10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752	-1.257	United Kingdom	CS48	Homo sapiens	200	10.1186/s40168-019-0717-3	oral	dental calculus	ENA	PRJEB30331	ERS2985785,ERS3881553
Jensen2019	2019	10.1038/s41467-019-13549-9	Syltholm	54.66	11.35	Denmark	Syltholm_1	Homo sapiens	5000	10.1038/s41467-019-13549-9	oral	birch pitch	ENA	PRJEB30280	ERS3337752
Fagernas2020	2020	10.1016/j.jas.2020.105135	Driffield Terrace	53.951	-1.1	United Kingdom	3DT21	Homo sapiens	1500	10.1016/j.jas.2020.105135	oral	dental calculus	ENA	PRJEB35483	ERS4042406,ERS4042407,ERS4042408,ERS4042409
Fagernas2020	2020	10.1016/j.jas.2020.105135	Wighill	53.91	-1.29	United Kingdom	WG1561	Homo sapiens	700	10.1016/j.jas.2020.105135	oral	dental calculus	ENA	PRJEB35483	ERS4042435,ERS4042436,ERS4042437,ERS4042438
Fagernas2020	2020	10.1016/j.jas.2020.105135	San Martín de Dulantzi	42.84	-2.517	Spain	SMD 1441-1-1440(044)	Homo sapiens	1100	10.1016/j.jas.2020.105135	oral	dental calculus	ENA	PRJEB35483	ERS4042423,ERS4042424,ERS4042425,ERS4042426
Fagernas2020	2020	10.1016/j.jas.2020.105135	San Martín de Dulantzi	42.84	-2.517	Spain	SMD 2591-1-2590(159)	Homo sapiens	1100	10.1016/j.jas.2020.105135	oral	dental calculus	ENA	PRJEB35483	ERS4042427,ERS4042428,ERS4042429,ERS4042430
Fagernas2020	2020	10.1016/j.jas.2020.105135	San Martín de Dulantzi	42.84	-2.517	Spain	SMD 2711-1-2710(171)	Homo sapiens	1000	10.1016/j.jas.2020.105135	oral	dental calculus	ENA	PRJEB35483	ERS4042431,ERS4042432,ERS4042433,ERS4042434
Fagernas2020	2020	10.1016/j.jas.2020.105135	Rupert's Valley	-15.933	-5.75	Saint Helena	SK203	Homo sapiens	100	10.1016/j.jas.2020.105135	oral	dental calculus	ENA	PRJEB35483	ERS4042419,ERS4042420,ERS4042421,ERS4042422
Mann2018	2018	10.1038/s41598-018-28091-9	Camino del Molino	38.102	-1.865	Spain	C214	Homo sapiens	4700	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078201
Mann2018	2018	10.1038/s41598-018-28091-9	Camino del Molino	38.102	-1.865	Spain	C53	Homo sapiens	4700	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078204
Mann2018	2018	10.1038/s41598-018-28091-9	Anse a la Gourde	16.254	-61.203	Guadeloupe	F1948	Homo sapiens	800	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078198
Mann2018	2018	10.1038/s41598-018-28091-9	Anse a la Gourde	16.254	-61.203	Guadeloupe	F349A	Homo sapiens	800	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078200
Mann2018	2018	10.1038/s41598-018-28091-9	Khövsgöl	49.66	99.61	Mongolia	H10	Homo sapiens	4400	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078195
Mann2018	2018	10.1038/s41598-018-28091-9	Khövsgöl	49.66	99.61	Mongolia	H24	Homo sapiens	4400	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078181
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT01	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078183,SRS3078182
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT02	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078176
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT03	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078178
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT04	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078185
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT05	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078115,SRS3078117
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT06	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078111
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT07	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078113
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT08	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078109,SRS3078099
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT09	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078097,SRS3078104
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT10	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078101
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT11	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078105
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT12	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078133
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT13	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078131,SRS3078137
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT14	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078134,SRS3078129
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT15	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078120
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT16	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078122
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT17	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078124
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT18	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078126
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT19	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078118
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT20	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078148
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT21	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078150
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT22	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078151
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT23	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078155
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT24	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078156,SRS3078146
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT25	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078197,SRS3078141
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT26	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078139,SRS3078145
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT27	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078093
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT28	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078091,SRS3078089
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT29	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078087,SRS3078085
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT30	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078193
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT31	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078158,SRS3078147
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT32	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078192,SRS3078187
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT33	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078170
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT34	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078167
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT35	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078165
Mann2018	2018	10.1038/s41598-018-28091-9	Kilteasheen	54.005	-8.201	Ireland	KT36	Homo sapiens	1000	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078163,SRS3078172
Mann2018	2018	10.1038/s41598-018-28091-9	Norris Farms	40.23	-90.143	USA	NF217	Homo sapiens	700	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078173
Mann2018	2018	10.1038/s41598-018-28091-9	Norris Farms	40.23	-90.143	USA	NF47	Homo sapiens	700	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078175
Mann2018	2018	10.1038/s41598-018-28091-9	Middenbeemster	52.548	4.912	Netherlands	S108	Homo sapiens	300	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078160
Mann2018	2018	10.1038/s41598-018-28091-9	Samdzong	29.27	84.03	Nepal	S40	Homo sapiens	1400	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078162
Mann2018	2018	10.1038/s41598-018-28091-9	Samdzong	29.27	84.03	Nepal	S41	Homo sapiens	1400	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078206
Mann2018	2018	10.1038/s41598-018-28091-9	Middenbeemster	52.548	4.912	Netherlands	S454	Homo sapiens	300	10.1038/s41598-018-28091-9	oral	dental calculus	SRA	PRJNA445215	SRS3078095
