project_name	publication_year	publication_doi	site_name	latitude	longitude	geo_loc_name	sample_name	sample_host	sample_age	sample_age_doi	singlegenome_domain	singlegenome_species	material	genome_type	collection_date	archive	data_type	archive_accession	run_accession	library_layout	fastq_ftp
Schuenemann2018	2018	10.1371/journal.ppat.1006997	Odense St. Jørgen cemetery	55.399	10.406	Denmark	Jorgen_749	Homo sapiens	700	10.1371/journal.ppat.1006997	bacteria	Mycobacterium leprae	tooth	chromosome	NA	ENA	raw	ERS1574262	ERR1883862,ERR1883889,ERR1883890,ERR1884227,ERR1884228	PAIRED,PAIRED,PAIRED,PAIRED,PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883862/ERR1883862_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883862/ERR1883862_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883889/ERR1883889_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883889/ERR1883889_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883890/ERR1883890_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883890/ERR1883890_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1884227/ERR1884227_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1884227/ERR1884227_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1884228/ERR1884228_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1884228/ERR1884228_2.fastq.gz
Schuenemann2018	2018	10.1371/journal.ppat.1006997	Szentes-Kistőke	46.715	20.281	Hungary	SK11	Homo sapiens	1300	10.1016/j.meegid.2015.02.001	bacteria	Mycobacterium leprae	bone	chromosome	NA	SRA	raw	SRS2667046	SRR6263250,SRR6263256	PAIRED,SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR626/000/SRR6263250/SRR6263250_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR626/000/SRR6263250/SRR6263250_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR626/006/SRR6263256/SRR6263256.fastq.gz
Schuenemann2018	2018	10.1371/journal.ppat.1006997	Necropoli Vicenne Campochiaro	41.564	14.498	Italy	T18	Homo sapiens	1300	10.1016/j.meegid.2015.02.001	bacteria	Mycobacterium leprae	bone	chromosome	NA	SRA	raw	SRS2667044	SRR6263251,SRR6263257	PAIRED,SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR626/001/SRR6263251/SRR6263251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR626/001/SRR6263251/SRR6263251_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR626/007/SRR6263257/SRR6263257.fastq.gz
Schuenemann2018	2018	10.1371/journal.ppat.1006997	Prušánky	48.831	16.982	Czech Republic	Body 188	Homo sapiens	1100	10.1016/j.meegid.2015.02.001	bacteria	Mycobacterium leprae	bone	chromosome	NA	SRA	raw	SRS2667047	SRR6263249,SRR6263255	PAIRED,SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR626/009/SRR6263249/SRR6263249_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR626/009/SRR6263249/SRR6263249_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR626/005/SRR6263255/SRR6263255.fastq.gz
Schuenemann2018	2018	10.1371/journal.ppat.1006997	Great Chesterford	52.063	0.193	United Kingdom	GC96	Homo sapiens	1500	10.1371/journal.pone.0124282	bacteria	Mycobacterium leprae	bone	chromosome	NA	SRA	raw	SRS2667045	SRR6263252,SRR6263253,SRR6263254	PAIRED,PAIRED,PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR626/002/SRR6263252/SRR6263252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR626/002/SRR6263252/SRR6263252_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR626/003/SRR6263253/SRR6263253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR626/003/SRR6263253/SRR6263253_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR626/004/SRR6263254/SRR6263254_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR626/004/SRR6263254/SRR6263254_2.fastq.gz
Warinner2014	2014	10.1038/ng.2906	Dalheim	51.565	8.84	Germany	G12	Homo sapiens	900	10.1038/ng.2906	bacteria	Tannerella forsythia	tooth	chromosome	NA	SRA	raw	SRS473747,SRS473746,SRS473748,SRS473749,SRS473750	SRR957746	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR957/SRR957746/SRR957746.fastq.gz
Bos2014	2014	10.1038/nature13591	El Yaral	-17.41	-71.092	Peru	64	Homo sapiens	900	10.1038/nature13591	bacteria	Mycobacterium pinnipedii	bone	chromosome	NA	SRA	raw	SRS592075	SRR1238559	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/009/SRR1238559/SRR1238559_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/009/SRR1238559/SRR1238559_2.fastq.gz
Bos2014	2014	10.1038/nature13591	El Algodonal	-17.583	-71.21	Peru	58	Homo sapiens	1000	10.1038/nature13591	bacteria	Mycobacterium pinnipedii	bone	chromosome	NA	SRA	raw	SRS591992	SRR1238557	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/007/SRR1238557/SRR1238557_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/007/SRR1238557/SRR1238557_2.fastq.gz
Bos2014	2014	10.1038/nature13591	Chiribaya Alta	-17.621	-71.269	Peru	54	Homo sapiens	900	10.1038/nature13591	bacteria	Mycobacterium pinnipedii	bone	chromosome	NA	SRA	raw	SRS591994	SRR1238558	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/008/SRR1238558/SRR1238558_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/008/SRR1238558/SRR1238558_2.fastq.gz
AndradesValtuena2017	2017	10.1016/j.cub.2017.10.025	Rasshevatskiy	45.569	41.03	Russia	RK1001	Homo sapiens	4200	10.1016/j.cub.2017.10.025	bacteria	Yersinia pestis	tooth	chromosome	NA	ENA	raw	ERS1892069	ERR2112553,ERR2112554,ERR2112555,ERR2112556,ERR2112557,ERR2112558,ERR2112559,ERR2112560,ERR2112561,ERR2112562,ERR2112563,ERR2112564,ERR2112565,ERR2112566,ERR2112567,ERR2112568,ERR2112583,ERR2112584,ERR2112585,ERR2112586	PAIRED,PAIRED,PAIRED,PAIRED,PAIRED,PAIRED,PAIRED,PAIRED,PAIRED,PAIRED,PAIRED,PAIRED,PAIRED,PAIRED,PAIRED,PAIRED,SINGLE,SINGLE,SINGLE,SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/003/ERR2112553/ERR2112553_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/003/ERR2112553/ERR2112553_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/004/ERR2112554/ERR2112554_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/004/ERR2112554/ERR2112554_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/005/ERR2112555/ERR2112555_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/005/ERR2112555/ERR2112555_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/006/ERR2112556/ERR2112556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/006/ERR2112556/ERR2112556_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/007/ERR2112557/ERR2112557_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/007/ERR2112557/ERR2112557_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/008/ERR2112558/ERR2112558_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/008/ERR2112558/ERR2112558_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/009/ERR2112559/ERR2112559_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/009/ERR2112559/ERR2112559_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/000/ERR2112560/ERR2112560_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/000/ERR2112560/ERR2112560_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/001/ERR2112561/ERR2112561_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/001/ERR2112561/ERR2112561_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/002/ERR2112562/ERR2112562_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/002/ERR2112562/ERR2112562_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/003/ERR2112563/ERR2112563_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/003/ERR2112563/ERR2112563_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/004/ERR2112564/ERR2112564_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/004/ERR2112564/ERR2112564_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/005/ERR2112565/ERR2112565_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/005/ERR2112565/ERR2112565_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/006/ERR2112566/ERR2112566_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/006/ERR2112566/ERR2112566_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/007/ERR2112567/ERR2112567_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/007/ERR2112567/ERR2112567_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/008/ERR2112568/ERR2112568_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/008/ERR2112568/ERR2112568_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/003/ERR2112583/ERR2112583.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/004/ERR2112584/ERR2112584.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/005/ERR2112585/ERR2112585.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/006/ERR2112586/ERR2112586.fastq.gz
AndradesValtuena2017	2017	10.1016/j.cub.2017.10.025	Beli Manastir-Popova zemlja	45.77	18.61	Croatia	GEN72	Homo sapiens	4200	10.1016/j.cub.2017.10.025	bacteria	Yersinia pestis	tooth	chromosome	NA	ENA	raw	ERS1892068	ERR2112579,ERR2112580,ERR2112581,ERR2112582	SINGLE,SINGLE,SINGLE,SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/009/ERR2112579/ERR2112579.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/000/ERR2112580/ERR2112580.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/001/ERR2112581/ERR2112581.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/002/ERR2112582/ERR2112582.fastq.gz
AndradesValtuena2017	2017	10.1016/j.cub.2017.10.025	Gyvakarai	55.913	24.89	Lithuania	Gyvakarai1	Homo sapiens	4000	10.1016/j.cub.2017.10.025	bacteria	Yersinia pestis	tooth	chromosome	NA	ENA	raw	ERS1892064	ERR2112544,ERR2112545,ERR2112546	PAIRED,PAIRED,PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/004/ERR2112544/ERR2112544_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/004/ERR2112544/ERR2112544_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/005/ERR2112545/ERR2112545_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/005/ERR2112545/ERR2112545_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/006/ERR2112546/ERR2112546_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR211/006/ERR2112546/ERR2112546_2.fastq.gz
